experiment,method,sigmoid_k,pca_components,ffnn_epochs,traj_length,synth_pct,fold_idx,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
grid_stage1,FORGE,5.0,10,10,4500,60,2,0.3956456184387207,0.9743659496307373,0.9412316679954529,0.685005784034729,0.035925302654504776,0.9508179426193237,0.9271766951342892,0.006282303567429554,0.12547529046913905,0.003135716316566179,0.12547529046913905,0.06430550339285261,0.0274384331975955,0.021156129630165946,0.3547036082474227,0.22922831777828365,0.010156515821708064,0.007020799505141885,0.46811115741729736,0.9368730783462524,0.9100344181060791,0.7024921178817749,0.07933495193719864,0.8871408700942993,0.9489435802943911,0.02398370255334406,0.08771950924737337,0.019825115106945165,0.08771950924737337,0.05377231217715927,0.14228233469071166,0.16626603724405573,0.9188144329896907,0.8310949237423173,0.10127594419870704,0.12110105930565221
grid_stage1,FORGE,0.0,5,10,750,20,1,0.19453021883964539,0.9694275856018066,0.9191294312477112,0.5819789171218872,0.046401187777519226,0.9410910606384277,0.8985449687591203,0.0036947638596720855,0.13770068678951347,0.000514754356409142,0.13770068678951347,0.0691077205729613,0.009980652888247397,0.006285889028575312,0.19907735982966643,0.061376673040152964,0.0014283880079604546,0.0009136336515513126,0.40270230174064636,0.9442570805549622,0.9091050028800964,0.6734796762466431,0.06402184069156647,0.8980304598808289,0.9099764531664593,0.027132924630906538,0.32563864911040336,0.013742899571732567,0.32563864911040336,0.16969077434106797,0.09292755581488192,0.12006048044578846,0.3179559971611072,0.6435946462715105,0.08275020864094498,0.06900730906921242
grid_stage1,FORGE,10.0,15,10,4500,60,2,0.0023806372191756964,0.9703408479690552,0.9149209260940552,0.48636072874069214,0.04927971214056015,0.9423943161964417,0.7335203626592198,0.00040587981509685437,0.002048713862963806,0.00029842999306999745,0.002048713862963806,0.0011735719280169018,0.00027470751729041434,0.0006805873323872687,0.0,0.002048713862963806,0.00028921401837359647,0.0005876440114435939,0.24661904573440552,0.9561029076576233,0.9154819250106812,0.6013609766960144,0.06521031260490417,0.9170396327972412,0.789088524820867,0.028054455069733773,0.18135180500374307,0.021811979804203033,0.18135180500374307,0.10158189240397306,0.06765884558205675,0.03960439051232297,0.3434278350515464,0.16207603004780333,0.053096291255529095,0.03128431145132606
grid_stage1,FORGE,5.0,5,10,4500,60,2,0.22629240155220032,0.9717442989349365,0.9290639162063599,0.5990183353424072,0.04487987607717514,0.945479691028595,0.8796892788735514,0.0030826355768103653,0.010033681747672607,0.0007680184999313468,0.010033681747672607,0.005400850123801977,0.011586193523366298,0.014668829100176663,0.1333762886597938,0.14340997040746642,0.0051548145627764545,0.005922833062707801,0.38075193762779236,0.9039616584777832,0.8740056157112122,0.642356812953949,0.1044868752360344,0.833712637424469,0.9246789614626685,0.05786795682311591,0.09702203130096843,0.0567574259958942,0.09702203130096843,0.07688972864843131,0.18075754637709263,0.23862550320020853,0.9497422680412371,0.8527202367402686,0.14014971078598162,0.19690713678187582
grid_stage1,FORGE,5.0,10,10,2000,40,1,0.4000343680381775,0.970453143119812,0.9334275722503662,0.6852437257766724,0.043051403015851974,0.9436800479888916,0.8804836074333711,0.008434908131700884,0.21233941325024733,0.00916790605082489,0.21233941325024733,0.1107536596505361,0.03296686423241102,0.024531956100710135,0.42725337118523776,0.21491395793499043,0.015134493162996726,0.0059665871121718375,0.5312831997871399,0.9464428424835205,0.9194950461387634,0.7388629913330078,0.06995666772127151,0.9038697481155396,0.94356237992521,0.044587556655921415,0.07685488128081286,0.016153294759209125,0.07685488128081286,0.04650408802001099,0.11901544697970089,0.1636030036356223,0.8892831795599716,0.8124282982791587,0.08417859664890544,0.10033189140811456
grid_stage1,FORGE,5.0,10,20,750,20,0,0.3881899118423462,0.9827015995979309,0.9616404175758362,0.6854457855224609,0.02584860660135746,0.9663545489311218,0.9456632386961407,0.0178632994440101,0.38160926030491243,0.006098123026063773,0.38160926030491243,0.1938536916654881,0.02973158097521298,0.01186828153120288,0.5298701298701298,0.1482608695652174,0.012683164372039488,0.006585041345975715,0.6012478470802307,0.9795452952384949,0.9661437273025513,0.7903965711593628,0.030034633353352547,0.9610867500305176,0.9666420359898299,0.009557466746693423,0.028526256352343293,0.0053165284900202475,0.028526256352343293,0.01692139242118177,0.05672331863521555,0.06628078538190897,0.811038961038961,0.8395652173913043,0.031010668909646287,0.036327197399666535
grid_stage1,FORGE,5.0,5,20,750,20,1,0.20554578304290771,0.9697766304016113,0.9201708436012268,0.5876612067222595,0.044832777231931686,0.9417685866355896,0.9087680066101579,0.0023523301385682633,0.12065918765868691,0.00048690508028252286,0.12065918765868691,0.06057304636948472,0.009504652519730983,0.0071523223811627195,0.19446415897799857,0.07380497131931166,0.0011395005456763176,0.0006525954653937947,0.4967426657676697,0.9596176743507385,0.9295726418495178,0.7281801700592041,0.0481097586452961,0.9252346754074097,0.9316729919559751,0.04460208196581505,0.23477141620313008,0.0075773635797714775,0.23477141620313008,0.12117438989145078,0.06247888708042871,0.10708096904624376,0.41589779985805536,0.6506692160611854,0.046494832124285804,0.05407219570405728
grid_stage1,FORGE,0.0,5,30,750,20,2,0.2101784497499466,0.9716383218765259,0.928041398525238,0.590908408164978,0.04357720911502838,0.9452429413795471,0.905545870987222,0.004172852737218062,0.0456261249738924,1.4468527788426798e-05,0.0456261249738924,0.022820296750840414,0.00987331135673195,0.014046164093950013,0.10051546391752578,0.14614158889141818,0.005086764205512079,0.0050722956777236525,0.3715584874153137,0.958365261554718,0.9247679710388184,0.6649618744850159,0.051735252141952515,0.9219043254852295,0.9129589432813642,0.039552386401990575,0.19813709016922426,0.035305893932839456,0.19813709016922426,0.11672149205103186,0.08787408700148665,0.04832170059949607,0.5193298969072165,0.3211928067379923,0.0650901667233753,0.02978427279053584
grid_stage1,FORGE,10.0,5,10,2000,40,2,0.22629240155220032,0.9717442989349365,0.9290639162063599,0.5990183353424072,0.04487987607717514,0.945479691028595,0.8796892788735514,0.0030826355768103653,0.010033681747672607,0.0007680184999313468,0.010033681747672607,0.005400850123801977,0.011586193523366298,0.014668829100176663,0.1333762886597938,0.14340997040746642,0.0051548145627764545,0.005922833062707801,0.36745384335517883,0.9292706847190857,0.8971042633056641,0.6483622789382935,0.08044851571321487,0.8727681040763855,0.8959892893660899,0.013715214806646309,0.14707024237247157,0.01343761328407378,0.14707024237247157,0.08025392782827268,0.1511214530411738,0.1374062382345275,0.7316365979381443,0.5845663555656727,0.12046614494726098,0.1070285316631872
grid_stage1,FORGE,0.0,10,20,750,20,2,0.4595879316329956,0.9754995703697205,0.9459614157676697,0.7175437211990356,0.034426379948854446,0.9531242847442627,0.9390904992291109,0.007147280340964259,0.17229393177055347,0.0022188057606918905,0.17229393177055347,0.08725636876562268,0.0332557688578631,0.02610848851689884,0.4490979381443299,0.27680400637377645,0.011296359305886355,0.009077553545194465,0.6234114170074463,0.9736036062240601,0.9535535573959351,0.7985075116157532,0.03698064386844635,0.9506651759147644,0.9514447192732117,0.012315931624167206,0.12709689560007598,0.010888355767246727,0.12709689560007598,0.06899262568366135,0.06725486393898261,0.07957079556314982,0.7876932989690721,0.6605964033689962,0.029210615855733243,0.04009897162297997
